Week,Mun,Ncasos,Year,Ncasos_lead,Ncasos_lag,Ncasos_lagroll_15,Ncasos_lagroll_30,EDAR,nHab,N1,N2,IP4,E,caudal,lluvia,Fecha,sars2,sars,n1_fill,f_num,n1_loess,n1_loess_15,n1_loess_30,sars_loess,sars_loess_15,sars_loess_30,sars2_loess,sars2_loess_15,sars2_loess_30,Month
2020 28,BARCELONA,1399,2020,2338,793,570,512.5,BESÒS,1664182,826,NA,NA,686,327029,0,2020-07-06,686,826,826,18449,0,10173.114565091935,NA,3796.5997965040065,19501.217153539492,NA,1671.3586888460077,17730.01039308704,NA,07
2020 29,BARCELONA,2338,2020,2438,1399,1096,737.75,BESÒS,1664182,25521,NA,NA,14630,317575,0.3,2020-07-13,14630,25521,25521,18456,20346.22913018387,34696.98489156921,36363.616427924804,35205.834510574976,49926.86454078712,48563.40753089382,33788.66209732807,46366.24907806766,42740.31604294721,07
2020 30,BARCELONA,2438,2020,2213,2338,1868.5,1219.25,BESÒS,1664182,53820,130171,NA,NA,324759,0,2020-07-20,130171,130171,53820,18463,49047.74065295455,62554.11829075767,62028.515361198595,64647.89457099926,77625.59790824815,75671.23143792199,58943.836058807254,67750.62169280738,63534.52552236986,07
2020 31,BARCELONA,2213,2020,1874,2438,2388,1742,BESÒS,1664182,30673,26401,NA,NA,312062,0,2020-07-27,26401,30673,30673,18470,76060.49592856079,89360.04583082798,88558.4110492697,90603.30124549704,101415.59833505687,99300.3922450545,76557.40732680752,80702.80196667206,76465.17870641926,07
2020 32,BARCELONA,1874,2020,1964,2213,2325.5,2097,BESÒS,1664182,45800,6291,NA,NA,331372,9.6,2020-08-03,6291,45800,45800,18477,102659.59573309516,114562.7038077817,114359.77694467679,112227.8954246167,120975.18658186085,121038.06899541998,84848.19660653663,85179.73572003114,81471.06509372534,08
2020 33,BARCELONA,1964,2020,2077,1874,2043.5,2215.75,BESÒS,1664182,198067,199625,NA,NA,281022,0,2020-08-10,199625,199625,198067,18484,126465.81188246823,139359.50805852562,137115.18413631557,129722.47773910502,140660.53965578307,139518.5382428211,85511.27483352566,82239.32822077861,79434.60360408889,08
2020 34,BARCELONA,2077,2020,2251,1964,1919,2122.25,BESÒS,1664182,166367,73651,NA,NA,281533,0,2020-08-17,73651,166367,166367,18491,152253.204234583,159667.66446484945,147465.3187161722,151598.60157246114,158061.88990378132,147098.37746627783,78967.38160803154,73689.47148814664,69797.5242520527,08
2020 35,BARCELONA,2251,2020,2046,2077,2020.5,2032,BESÒS,1664182,162229,48076,NA,NA,294440,0,2020-08-24,48076,162229,162229,18498,167082.1246951159,155571.12937381875,143479.77943500262,164525.1782351015,153536.2152767726,142600.70012702266,68411.56136826173,57355.7202833268,54604.21942914691,08
2020 36,BARCELONA,2046,2020,1811,2251,2164,2041.5,BESÒS,1664182,73204,12819,NA,NA,474624,7.2,2020-08-31,12819,73204,73204,18505,144060.13405252158,127291.89440515576,124464.64450100329,142547.25231844367,127139.51035026398,125591.22443367876,46299.87919839188,35518.9673701472,40728.78950852087,08
2020 37,BARCELONA,1811,2020,2322,2046,2148.5,2084.5,BESÒS,1664182,240186,63454,NA,NA,474539,7.2,2020-09-07,63454,240186,240186,18512,110523.65475778996,93358.15962818786,94253.94215673352,111731.7683820843,97646.23359058492,99345.22024434728,24738.055541902522,24101.858733714955,30748.490591710935,09
2020 38,BARCELONA,2322,2020,2100,1811,1928.5,2046.25,BESÒS,1664182,34936,6419,NA,NA,362072,0,2020-09-14,6419,34936,34936,18519,76192.66449858576,61215.98990831128,67286.37534692005,83560.69879908554,71550.93013843057,76824.94261867099,23465.66192552739,25978.013813274672,28755.762982995424,09
2020 39,BARCELONA,2100,2020,2423,2322,2066.5,2107.5,BESÒS,1664182,6807,15603,NA,NA,491723,25.9,2020-09-21,15603,15603,6807,18526,46239.31531803681,41214.59106565222,48099.483368546506,59541.1614777756,56003.65164675706,61730.71408966175,28490.36570102196,33409.6672322759,34940.45014114006,09
2020 40,BARCELONA,2423,2020,3691,2100,2211,2069.75,BESÒS,1664182,16665,44808,NA,NA,389023,0,2020-09-28,44808,44808,16665,18533,36189.866813267625,34982.97682878173,41723.24913855501,52466.141815738534,51910.498040892926,56890.50001131237,38328.96876352984,43902.88646900545,43769.27804029901,09
2020 41,BARCELONA,3691,2020,4770,2423,2261.5,2164,BESÒS,1664182,21488,51843,NA,NA,359795,0,2020-10-05,51843,51843,21488,18540,33776.08684429583,42231.9072114578,47611.128291117224,51354.85426604731,57777.348375867674,61488.721784401685,49476.80417448106,54128.888848322116,52972.171838629794,10
2020 42,BARCELONA,4770,2020,7244,3691,3057,2634,BESÒS,1664182,94638,54533,NA,NA,343375,22,2020-10-12,54533,94638,94638,18547,50687.727578619764,60239.27975345272,55731.234804768865,64199.84248568803,71066.94552791043,65859.14741494379,58780.97352216318,62041.457208254134,57878.18564706444,10
2020 43,BARCELONA,7244,2020,6934,4770,4230.5,3246,BESÒS,1664182,72619,82760,NA,NA,378710,NA,2020-10-19,82760,82760,72619,18554,69790.83192828568,69230.56239807993,63500.80676674347,77934.04857013284,73940.94645401988,68442.56834307278,65301.9408943451,61627.48244580676,58044.96102971976,10
2020 44,BARCELONA,6934,2020,5419,7244,6007,4532,BESÒS,1664182,65079,59400,NA,NA,437274,0,2020-10-26,59400,65079,65079,18561,68670.29286787417,66762.33378003421,66358.42075114347,69947.84433790692,65818.19115823512,68529.92728598001,57953.02399726843,54048.464851185374,55792.48264504239,10
2020 45,BARCELONA,5419,2020,3595,6934,7089,5659.75,BESÒS,1664182,89786,64799,NA,NA,355055,0,2020-11-02,64799,89786,89786,18568,64854.374692194266,63486.279104206995,63799.462231250815,61688.53797856331,63118.908117940126,66587.10796320593,50143.90570510233,49957.48284427803,52597.96345030516,11
2020 46,BARCELONA,3595,2020,2489,5419,6176.5,6091.75,BESÒS,1664182,11938,14231,NA,NA,359000,0,2020-11-09,14231,14231,11938,18575,62118.183516219724,60836.5906824674,62155.65218144127,64549.278257316946,67356.02476817672,69621.12719929215,49771.05998345373,51147.46204942494,54397.92669559861,11
2020 47,BARCELONA,2489,2020,1935,3595,4507,5798,BESÒS,1664182,60648,58267,NA,NA,368208,0,2020-11-16,58267,60648,60648,18582,59554.99784871508,60825.02525867555,62073.48151709804,70162.77127903649,76123.34628064418,77698.02873666596,52523.86411539615,58838.3705469192,61556.170249065086,11
2020 48,BARCELONA,1935,2020,1897,2489,3042,4609.25,BESÒS,1664182,94201,37725,NA,NA,366688,NA,2020-11-23,37725,94201,94201,18589,62095.052668636024,63310.37235172867,61744.60948347383,82083.92128225189,88040.03270515519,86119.57602892876,65152.876978442255,71964.87844870525,70911.64489952884,11
2020 49,BARCELONA,1897,2020,2114,1935,2212,3359.5,BESÒS,1664182,51868,137451,NA,NA,357084,0,2020-11-30,137451,137451,51868,18596,64525.69203482132,62664.19370827211,61869.16248529899,93996.14412805848,96115.80577721332,94719.7106772585,78776.87991896823,82984.91925213847,82012.00824457241,11
2020 50,BARCELONA,2114,2020,3410,1897,1916,2479,BESÒS,1664182,69145,56598,NA,NA,344011,0,2020-12-08,56598,69145,69145,18604,60802.69538172291,60427.95261886932,63770.312161117006,98235.46742636815,101399.3886493618,105665.92436410065,87192.95858530872,92059.13804043959,95892.30962315339,12
2020 51,BARCELONA,3410,2020,3529,2114,2005.5,2108.75,BESÒS,1664182,74660,145250,NA,NA,355248,0,2020-12-14,145250,145250,74660,18610,60053.20985601573,64876.43061396191,67113.04604490506,104563.30987235546,115216.04295098796,117794.66693790606,96925.31749557046,108799.69999416829,110950.08477470944,12
2020 52,BARCELONA,3529,2020,3581,3410,2762,2339,BESÒS,1664182,29403,55292,NA,NA,375992,0,2020-12-21,55292,55292,29403,18617,69699.65137190808,73798.1394709408,71565.2341475008,125868.77602962048,134189.9452264503,129999.50256787709,120674.08249276612,129841.0315089793,125219.28685806766,12
2020 53,BARCELONA,3581,2020,5620,3529,3469.5,2737.5,BESÒS,1664182,20826,4505,NA,NA,344011,0,2020-12-28,4505,20826,20826,18624,77896.62756997354,78254.03768103971,75479.62089583739,142511.11442328015,144782.9621847662,140290.00799299096,139007.98052519248,141638.87372196701,136860.42389519868,12
2021 01,BARCELONA,5620,2021,6586,3581,3555,3158.5,BESÒS,1636732,199744,418520,NA,NA,242530,0,2021-01-04,418520,418520,199744,18631,78611.44779210587,77161.10232073397,72830.99281709954,147054.80994625227,146390.0707595316,138940.70203174118,144269.76691874157,143879.81628141808,136600.303026569,01
2021 02,BARCELONA,6586,2021,6293,5620,4600.5,4035,BESÒS,1636732,61260,77577,NA,NA,322753,0,2021-01-11,77577,77577,61260,18638,75710.75684936208,67407.94795315937,57530.26880218413,145725.33157281094,133098.44187871617,115225.2887548043,143489.8656440946,131561.73233117093,114060.63441932488,01
2021 03,BARCELONA,6293,2021,5240,6586,6103,4829,BESÒS,1636732,21119,37118,NA,NA,319667,0,2021-01-18,37118,37118,21119,18645,59105.13905695667,37899.435283634295,42758.419661991284,120471.55218462137,84060.506750077,89598.69274053861,119633.5990182473,84241.45255723166,89134.52885891395,01
2021 05,BARCELONA,3806,2021,3311,5240,5766.5,5934.75,BESÒS,1636732,18620,101322,NA,NA,318482,0,2021-02-01,101322,101322,18620,18659,16693.731510311918,18108.89137082319,30479.48959383006,47649.46131553262,46098.94360236106,64997.67811944162,48849.30609621604,46707.325386656965,64725.37854962622,02
2021 06,BARCELONA,3311,2021,2808,3806,4523,5481.25,BESÒS,1636732,21953,35199,NA,NA,424649,2.5,2021-02-08,35199,35199,21953,18666,19524.05123133446,23059.54390402582,22215.52351095678,44548.4258891895,45934.84948880624,44114.415030352626,44565.34467709789,45209.30454202078,43722.30049939654,02
2021 07,BARCELONA,2808,2021,2395,3311,3558.5,4662.5,BESÒS,1636732,15926,19350,NA,NA,329415,0.25,2021-02-15,19350,19350,15926,18673,26595.036576717186,26322.15565109037,24691.25994456511,47321.27308842299,42129.88645834419,39353.23245149909,45853.26440694367,40737.275612136116,38100.738608687956,02
2021 08,BARCELONA,2395,2021,2158,2808,3059.5,3791.25,BESÒS,1636732,45083,60605,NA,NA,542376,3.75,2021-02-22,60605,60605,45083,18680,26049.274725463554,26322.9759851044,26852.91980180222,36938.49982826539,32771.615414191925,35670.19152005252,35621.28681732856,30992.172675355134,33076.043213182886,02
2021 09,BARCELONA,2158,2021,1976,2395,2601.5,3080,BESÒS,1636732,39896,25946,NA,NA,328508,0,2021-03-01,25946,39896,39896,18687,26596.677244745242,27383.683952514068,28425.161818955705,28604.73100011846,29210.496581760843,32819.5650537606,26363.058533381707,25414.810814229655,27858.01122002132,03
2021 10,BARCELONA,1976,2021,2114,2158,2276.5,2668,BESÒS,1636732,16611,18977,NA,NA,345866,0.45,2021-03-08,18977,18977,16611,18694,28170.690660282893,30527.34765280701,33883.62444683422,29816.262163403226,32867.51469332926,34982.25267703827,24466.56309507761,24723.84976468751,23801.12844466113,03
2021 11,BARCELONA,2114,2021,2516,1976,2067,2334.25,BESÒS,1636732,11775,20596,NA,NA,324144,0,2021-03-15,20596,20596,11775,18701,32884.00464533112,40383.56494115437,43661.36464313982,35918.7672232553,40754.00877231568,43085.90841800453,24981.136434297416,22187.446075092605,22268.076839117337,03
2021 12,BARCELONA,2516,2021,2291,2114,2045,2160.75,BESÒS,1636732,56956,29461,NA,NA,333253,0,2021-03-22,29461,56956,56956,18708,47883.12523697763,56795.38163347263,59159.54739636445,45589.250321376065,53304.30214267979,59969.44455345966,19393.755715887797,19812.303913547163,28477.55101919583,03
2021 13,BARCELONA,2291,2021,2545,2516,2315,2191,BESÒS,1636732,56837,24516,NA,NA,322631,0,2021-03-29,24516,56837,56837,18715,65707.63802996764,77935.52985157451,78469.8149509474,61019.35396398353,79184.88033460363,83739.24076396502,20230.852111206532,34767.65596329906,42376.5440289761,03
2021 14,BARCELONA,2545,2021,2292,2291,2403.5,2224.25,BESÒS,1636732,96339,51292,NA,NA,305691,0,2021-04-05,51292,96339,96339,18722,90163.4216731814,100144.24826842218,94146.16404042002,97350.40670522372,114174.17938525025,108715.35486494689,49304.459815391594,64940.78414440504,64056.8996520907,04
2021 15,BARCELONA,2292,2021,2021,2545,2418,2366.5,BESÒS,1636732,111487,20707,NA,NA,330593,7.1,2021-04-12,20707,111487,111487,18729,110125.07486366297,110356.79822926552,103302.10084738478,130997.95206527675,138245.82939529014,130312.38479912115,80577.1084734185,93346.14334088235,89550.9803651665,04
2021 16,BARCELONA,2021,2021,1958,2292,2418.5,2411,BESÒS,1636732,109051,66841,NA,NA,334212,0,2021-04-19,66841,109051,109051,18736,110588.52159486807,106459.95342634735,100316.49577392825,145493.70672530352,146450.59021299207,135350.30956283415,106115.1782083462,114161.17658592794,103885.74924452306,04
2021 17,BARCELONA,1958,2021,1578,2021,2156.5,2287.25,BESÒS,1636732,129363,258056,NA,NA,321968,0,2021-04-26,258056,258056,129363,18743,102331.38525782664,90276.19331859097,85973.67757083973,147407.4737006806,132454.7897303782,123102.70423220748,122207.1749635097,114425.35514816378,104472.9644834404,04
2021 18,BARCELONA,1578,2021,1169,1958,1989.5,2204,BESÒS,1636732,85761,126728,NA,NA,319221,0,2021-05-03,126728,126728,85761,18750,78221.00137935531,65487.401715332104,66226.69786948082,117502.1057600758,99754.81825142291,97558.41461569228,106643.53533281789,94784.75238095288,89360.72133249314,05
2021 19,BARCELONA,1169,2021,1131,1578,1768,1962.25,BESÒS,1636732,25728,22044,NA,NA,317663,0,2021-05-10,22044,25728,25728,18757,52753.80205130891,42177.20242037065,44660.22342190741,82007.53074277,62662.039501006366,63312.0615796154,82925.96942908787,64296.087516822474,61074.64087537983,05
2021 20,BARCELONA,1131,2021,1025,1169,1373.5,1681.5,BESÒS,1636732,14084,5281,NA,NA,329976,0,2021-05-17,5281,14084,14084,18764,31600.602789432407,23833.045128482718,36565.31938956694,43316.548259242714,26869.30490780791,44619.75868499965,45666.20560455709,27364.529369806794,36314.80026767205,05
2021 21,BARCELONA,1025,2021,1065,1131,1150,1459,BESÒS,1636732,40014,40363,NA,NA,272484,0,2021-05-24,40363,40363,40014,18771,16065.487467533025,30953.43635876322,52649.23771351127,10422.061556373097,26577.47786899296,53396.88573662036,9062.853135056506,8333.513018521622,23730.24921456348,05
2021 23,BARCELONA,1050,2021,1341,1065,1045,1097.5,BESÒS,1636732,50185,22712,NA,NA,329845,0,2021-06-07,22712,50185,50185,18785,45841.385249993415,81465.43029853982,114027.87536151125,42732.89418161281,79924.46656543283,111847.30298361299,7604.172901986753,20095.96905932016,35307.39411006876,06
